cod_montadora,observacoes,custo_por_km_mediano,custo_por_km_mediano_positivo,custo_por_km_medio,taxa_ocorrencia,km_mediano,custo_preventivo_total,custo_total
TRANSC,386,0.0,0.2438899587056452,0.044877126820027556,0.10621761658031088,1775.931060712539,23285.89,75271.47
DI-MOND,465,0.0,0.1847628449358903,0.04319626961969727,0.07526881720430108,1081.5830822380965,21332.52,51872.15
UTLTY,151522,0.0,0.0434000709431685,0.032849459926526894,0.24610947585169152,2074.42636548489,9421307.24,32060447.38
WABASH,30089,0.0,0.0738940731752492,0.03180724220173972,0.16607398052444414,2293.827656595191,1767764.64,5447456.75
TMOBILE,8484,0.0,0.15544488997494643,0.02890676454690788,0.0843941537010844,913.6529107768972,235694.37,812423.84
GRTDNE,6911,0.0,0.0962977754533999,0.02840827441727584,0.1251627839675879,1457.9111896039133,312469.17,1013701.0
STGHTN,59333,0.0,0.0850205971921007,0.025921666798242142,0.1437311445569919,1209.2413668904403,1973804.86,6281652.99
HYUNDAI,36006,0.0,0.037293679455730505,0.02389874572820456,0.24062656223962672,2814.418102289801,1824221.82,5291323.3
VGUARD,902,0.0,0.136795884720468,0.023245251178535594,0.09534368070953436,1198.037906799622,21430.53,96389.68
ITD,5115,0.0,0.0533867104819643,0.022296929264891737,0.15483870967741936,2256.221667363444,184420.55,565707.07
MANAC,31785,0.0,0.0401373213822064,0.02156469561209607,0.15913166588013214,2334.671402241058,1144723.3,3559727.47
MCHAS,1494,0.0,0.07617447168135655,0.016625617674359543,0.12182061579651941,1359.4233572910748,31095.25,70436.06
STRICK,105,0.0,0.16422888941915587,0.01490296426066249,0.0761904761904762,1041.7163428979338,1896.3500000000001,9467.67
