regiao_operacao,observacoes,custo_por_km_mediano,custo_por_km_mediano_positivo,custo_por_km_medio,taxa_ocorrencia,km_mediano,custo_preventivo_total,custo_total
British Columbia,4797,0.0,0.13743803725331138,0.05034050153777529,0.13800291849072338,3073.091296786015,492434.0,2325143.44
Manitoba,367,0.0,0.1885306019298305,0.0472715664588736,0.1444141689373297,2914.718714121699,37008.22,207880.25
DELTA,5003,0.0,0.05123931777388725,0.04644980468542483,0.2506496102338597,2556.04559723959,494033.9,1088742.74
New Brunswick,2213,0.0,0.08208299617664346,0.039989661381110535,0.16629010393131496,4528.370052243204,235850.37,886765.25
EDMONTON,3463,0.0,0.09724902790586609,0.03802626959314846,0.1368755414380595,2876.750210581523,252474.33000000002,566392.64
Ontario,113973,0.0,0.0710524730767306,0.03698196743765674,0.19042229299921912,1747.0824793049496,6832506.0,22706308.64
Alberta,25950,0.0,0.0300310179271819,0.03545920974802616,0.30215799614643546,3002.2088540282,2017070.82,6059208.98
Quebec,6595,0.0,0.06055730961447675,0.03476949884718106,0.13191811978771797,2213.186677631579,337798.2,1286204.39
CORNWALL,17385,0.0,0.0295385403154477,0.027820707248827924,0.21984469370146678,2443.0961491886655,1032839.92,2301972.18
LANGLEY,193,0.0,0.07150395042750825,0.023488389809743482,0.14507772020725387,4365.614008019367,8108.9800000000005,39851.04
MIS,132580,0.0,0.0544832756633157,0.021161367810248726,0.1930230804042842,1473.3945584188384,4492818.01,15608744.56
Nova Scotia,230,0.0,0.0822222424864491,0.019356661982579154,0.11304347826086956,3042.7798652723595,16299.99,73458.24
CALGARY,16303,0.0,0.0175893385311169,0.016998139335927764,0.27639084831012695,3023.9580623240463,695166.38,1999913.33
BALZAC,152,0.0,0.01051442229348655,0.013670984357149618,0.2894736842105263,3891.832185585108,4893.71,12851.38
WOODSTOCK,209,0.0,0.07885195675505091,0.013668386089276141,0.0861244019138756,1099.25,6091.33,21135.77
SEM_INFORMACAO,2948,0.0,,0.0,0.0,1387.1934485755683,0.0,0.0
